Titles	Genres
Toy Story (1995)[(8, 0.997)]	animation
Jumanji (1995)[(7, 0.986), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	fantasy
Grumpier Old Men (1995)[(0, 0.996)]	comedy
Heat (1995)[(1, 0.997)]	action
Sabrina (1995)[(4, 0.985), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	romance
Sudden Death (1995)[(7, 0.989), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
GoldenEye (1995)[(6, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Cutthroat Island (1995)[(6, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Sense and Sensibility (1995)[(0, 0.995), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Four Rooms (1995)[(4, 0.997)]	comedy
Ace Ventura: When Nature Calls (1995)[(3, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
City of Lost Children, The (Cité des enfants perdus, La) (1995)[(5, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)[(0, 0.989), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	sci-fi
Babe (1995)[(8, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	fantasy
Clueless (1995)[(8, 0.985), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	romance
Mortal Kombat (1995)[(7, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Pocahontas (1995)[(3, 0.997)]	animation
Usual Suspects, The (1995)[(5, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Home for the Holidays (1995)[(9, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Friday (1995)[(3, 0.989), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
From Dusk Till Dawn (1996)[(5, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	action
Screamers (1995)[(8, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Antonia's Line (Antonia) (1995)[(9, 0.986), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	fantasy
Black Sheep (1996)[(6, 0.992), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Broken Arrow (1996)[(8, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Happy Gilmore (1996)[(0, 0.983), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	comedy
Bridges of Madison County, The (1995)[(3, 0.975), (0, 0.004), (1, 0.003), (2, 0.003), (4, 0.003)]	romance
Braveheart (1995)[(1, 0.988), (0, 0.002), (2, 0.001), (3, 0.001), (4, 0.001)]	action
Birdcage, The (1996)[(0, 0.996)]	comedy
Bad Boys (1995)[(6, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Batman Forever (1995)[(8, 0.997)]	action
Congo (1995)[(4, 0.997)]	action
Desperado (1995)[(8, 0.997)]	action
Die Hard: With a Vengeance (1995)[(5, 0.998)]	action
Hackers (1995)[(4, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Judge Dredd (1995)[(7, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Mallrats (1995)[(2, 0.978), (0, 0.003), (3, 0.003), (4, 0.003), (1, 0.002)]	comedy
Net, The (1995)[(4, 0.988), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Nine Months (1995)[(0, 0.988), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Strange Days (1995)[(3, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	sci-fi
Under Siege 2: Dark Territory (1995)[(7, 0.989), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Walk in the Clouds, A (1995)[(7, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Waterworld (1995)[(5, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Before Sunrise (1995)[(5, 0.988), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Billy Madison (1995)[(2, 0.996), (0, 0.001)]	comedy
Clerks (1994)[(3, 0.988), (0, 0.002), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
Don Juan DeMarco (1995)[(4, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	fantasy
Dumb & Dumber (Dumb and Dumber) (1994)[(4, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Exotica (1994)[(4, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
French Kiss (1995)[(7, 0.984), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Heavenly Creatures (1994)[(7, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
I.Q. (1994)[(0, 0.988), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Interview with the Vampire: The Vampire Chronicles (1994)[(8, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	fantasy
Star Wars: Episode IV - A New Hope (1977)[(2, 0.993), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	sci-fi
Little Women (1994)[(8, 0.992), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Major Payne (1995)[(0, 0.996)]	comedy
Milk Money (1994)[(5, 0.996), (0, 0.001)]	comedy
Pulp Fiction (1994)[(1, 0.995), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	action
Swan Princess, The (1994)[(1, 0.98), (0, 0.003), (2, 0.002), (3, 0.002), (4, 0.002)]	animation
Stargate (1994)[(5, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	sci-fi
Santa Clause, The (1994)[(0, 0.998)]	fantasy
Shawshank Redemption, The (1994)[(0, 0.994), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Tommy Boy (1995)[(5, 0.989), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Muriel's Wedding (1994)[(0, 0.994), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Ace Ventura: Pet Detective (1994)[(0, 0.993), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Clear and Present Danger (1994)[(8, 0.61), (1, 0.376), (0, 0.002), (2, 0.002), (3, 0.002)]	action
Crow, The (1994)[(1, 0.995), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Flintstones, The (1994)[(1, 0.986), (0, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	comedy
Forrest Gump (1994)[(4, 0.997)]	comedy
Four Weddings and a Funeral (1994)[(8, 0.993), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
It Could Happen to You (1994)[(0, 0.996)]	comedy
Lion King, The (1994)[(5, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	animation
Mask, The (1994)[(9, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Maverick (1994)[(7, 0.985), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Naked Gun 33 1/3: The Final Insult (1994)[(4, 0.987), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Richie Rich (1994)[(0, 0.996), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Speed (1994)[(2, 0.982), (0, 0.003), (1, 0.002), (3, 0.002), (4, 0.002)]	action
True Lies (1994)[(0, 0.996), (2, 0.001), (3, 0.001), (4, 0.001)]	action
Bad Company (1995)[(9, 0.986), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	action
Street Fighter (1994)[(9, 0.997)]	action
Airheads (1994)[(3, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
Air Up There, The (1994)[(5, 0.989), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Beverly Hills Cop III (1994)[(3, 0.999)]	comedy
Blown Away (1994)[(2, 0.994), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	action
Carlito's Way (1993)[(1, 0.995), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Dave (1993)[(4, 0.997)]	comedy
Demolition Man (1993)[(2, 0.989), (0, 0.002), (1, 0.001), (3, 0.001), (4, 0.001)]	action
Fugitive, The (1993)[(7, 0.996), (0, 0.001)]	action
Hard Target (1993)[(0, 0.994), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	action
Hot Shots! Part Deux (1993)[(1, 0.987), (0, 0.002), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)[(5, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Hudsucker Proxy, The (1994)[(8, 0.996), (0, 0.001)]	comedy
Jurassic Park (1993)[(5, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Last Action Hero (1993)[(7, 0.996), (0, 0.001)]	fantasy
Much Ado About Nothing (1993)[(7, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Mrs. Doubtfire (1993)[(0, 0.986), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	comedy
Next Karate Kid, The (1994)[(0, 0.995), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Ref, The (1994)[(8, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Remains of the Day, The (1993)[(0, 0.993), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Robin Hood: Men in Tights (1993)[(6, 0.996), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Sleepless in Seattle (1993)[(0, 0.984), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	comedy
Blade Runner (1982)[(0, 0.997)]	sci-fi
So I Married an Axe Murderer (1993)[(7, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Super Mario Bros. (1993)[(6, 0.983), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Threesome (1994)[(4, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Nightmare Before Christmas, The (1993)[(0, 0.984), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	animation
True Romance (1993)[(3, 0.998)]	romance
Welcome to the Dollhouse (1995)[(4, 0.996), (0, 0.001)]	comedy
Brady Bunch Movie, The (1995)[(3, 0.993), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
Home Alone (1990)[(7, 0.986), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Ghost (1990)[(1, 0.996), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	romance
Aladdin (1992)[(7, 0.997)]	animation
Terminator 2: Judgment Day (1991)[(5, 0.997)]	sci-fi
Batman (1989)[(8, 0.62), (7, 0.377)]	action
Silence of the Lambs, The (1991)[(4, 0.996), (0, 0.001)]	action
Snow White and the Seven Dwarfs (1937)[(3, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	animation
Beauty and the Beast (1991)[(2, 0.992), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	animation
Pinocchio (1940)[(9, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	fantasy
Pretty Woman (1990)[(2, 0.986), (0, 0.002), (1, 0.002), (3, 0.002), (4, 0.002)]	romance
One Fine Day (1996)[(1, 0.996), (0, 0.001)]	romance
Heavy Metal (1981)[(0, 0.993), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	sci-fi
Aristocats, The (1970)[(4, 0.989), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	animation
All Dogs Go to Heaven 2 (1996)[(9, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	animation
Mission: Impossible (1996)[(5, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	action
Dragonheart (1996)[(1, 0.98), (0, 0.003), (2, 0.002), (3, 0.002), (4, 0.002)]	fantasy
James and the Giant Peach (1996)[(0, 0.988), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	animation
Kids in the Hall: Brain Candy (1996)[(2, 0.995), (0, 0.001), (1, 0.001), (3, 0.001), (4, 0.001)]	comedy
Mystery Science Theater 3000: The Movie (1996)[(8, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	comedy
Space Jam (1996)[(9, 0.997)]	animation
Barbarella (1968)[(0, 0.997)]	sci-fi
Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)[(2, 0.986), (0, 0.002), (1, 0.002), (3, 0.002), (4, 0.002)]	sci-fi
Visitors, The (Visiteurs, Les) (1993)[(3, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	comedy
Wallace & Gromit: The Best of Aardman Animation (1996)[(1, 0.971), (0, 0.004), (2, 0.003), (3, 0.003), (4, 0.003)]	comedy
Cold Comfort Farm (1995)[(7, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Rock, The (1996)[(9, 0.999)]	action
Twister (1996)[(7, 0.987), (0, 0.002), (1, 0.001), (2, 0.001), (3, 0.001)]	action
Ghost in the Shell (Kôkaku kidôtai) (1995)[(5, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	sci-fi
Wallace & Gromit: A Close Shave (1995)[(3, 0.99), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	animation
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)[(3, 0.999)]	comedy
Jack (1996)[(8, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Independence Day (a.k.a. ID4) (1996)[(9, 0.974), (3, 0.024)]	sci-fi
Kingpin (1996)[(1, 0.997)]	comedy
Eraser (1996)[(6, 0.985), (0, 0.002), (1, 0.002), (2, 0.002), (3, 0.002)]	action
Nutty Professor, The (1996)[(0, 0.995), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Daylight (1996)[(0, 0.988), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	action
Fled (1996)[(3, 0.994), (0, 0.001), (1, 0.001), (2, 0.001), (4, 0.001)]	action
Ransom (1996)[(6, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	action
High School High (1996)[(1, 0.992), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Matilda (1996)[(9, 0.997)]	comedy
Emma (1996)[(7, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
Mother Night (1996)[(7, 0.991), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Singin' in the Rain (1952)[(7, 0.978), (0, 0.003), (2, 0.003), (3, 0.003), (4, 0.003)]	comedy
Breakfast at Tiffany's (1961)[(0, 0.983), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	romance
Vertigo (1958)[(8, 0.995), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	romance
Apartment, The (1960)[(5, 0.999)]	romance
Some Like It Hot (1959)[(0, 0.988), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	comedy
Charade (1963)[(3, 0.999)]	romance
Casablanca (1942)[(8, 0.996), (0, 0.001)]	romance
My Fair Lady (1964)[(8, 0.98), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	romance
Sabrina (1954)[(2, 0.997)]	romance
Roman Holiday (1953)[(8, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	romance
Wizard of Oz, The (1939)[(1, 0.995), (0, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	fantasy
Gone with the Wind (1939)[(0, 0.996)]	romance
2001: A Space Odyssey (1968)[(8, 0.989), (0, 0.001), (1, 0.001), (2, 0.001), (3, 0.001)]	sci-fi
Notorious (1946)[(7, 0.982), (0, 0.003), (1, 0.002), (2, 0.002), (3, 0.002)]	romance
Gigi (1958)[(0, 0.987), (1, 0.002), (2, 0.002), (3, 0.002), (4, 0.002)]	romance
Laura (1944)[(1, 0.975), (0, 0.004), (2, 0.003), (3, 0.003), (4, 0.003)]	romance
Ghost and Mrs. Muir, The (1947)[(4, 0.998)]	romance
Lost Horizon (1937)[(0, 0.994), (1, 0.001), (2, 0.001), (3, 0.001), (4, 0.001)]	fantasy
To Be or Not to Be (1942)[(7, 0.756), (0, 0.237), (1, 0.001), (2, 0.001), (3, 0.001)]	comedy
My Man Godfrey (1936)[(1, 0.978), (0, 0.003), (2, 0.003), (3, 0.003), (4, 0.003)]	comedy
Thin Man, The (1934)[(8, 0.997)]	comedy
His Girl Friday (1940)[(2, 0.999)]	comedy
It's a Wonderful Life (1946)[(1, 0.978), (0, 0.003), (2, 0.003), (3, 0.003), (4, 0.003)]	fantasy
Bringing Up Baby (1938)[(7, 0.999)]	comedy
African Queen, The (1951)[(9, 0.998)]	romance
